Sr.#,Sheet,Assignment_1,Assignment_2,Assignment_3,Assignment_4,Assignment_5,Assignment_6,Quiz_1,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Midterm_1,Midterm_2,Midterm_3,Midterm_4,Midterm_5,Midterm_6,Midterm_7,Midterm_8,Final_1,Final_2,Final_3,Final_4,Final_5,Final_6,Student_ID,Assignment_Mean,Assignment_Max,Assignment_Min,Assignment_Std,Assignment_Sum,Quiz_Mean,Quiz_Max,Quiz_Min,Quiz_Std,Quiz_Sum,Overall_Mean,Overall_Std,Assignment_CV,Quiz_CV
,1,73.5,53.5,65.0,37.0,90.0,53.0,1.5,2.0,0.5,0.0,1.0,3.5,2.0,2.0,14.5,5.43,11.0,4.12,0.0,0.0,0.0,0.0,44.5,20.02,0.0,0.0,0.0,0.0,23,62.0,90.0,37.0,18.45806056984319,372.0,1.5625,3.5,0.0,1.0835622468770048,12.5,27.464285714285715,33.09105403493302,0.2976626442483985,0.689069791336728
,1,108.0,44.5,50.0,43.5,80.0,54.0,5.0,0.0,4.0,1.0,1.5,4.0,9.0,2.0,21.5,8.06,17.0,6.37,0.0,0.0,0.0,0.0,45.5,20.47,0.0,0.0,0.0,0.0,24,63.333333333333336,108.0,43.5,25.63526217277028,380.0,3.3125,9.0,0.0,2.8652785952802966,26.5,29.035714285714285,34.74603701016978,0.40470339692843676,0.862386334170142
,1,107.0,56.0,82.5,47.0,40.0,65.0,5.0,9.0,9.5,10.0,10.0,4.5,10.0,2.0,29.25,10.96,21.75,8.15,0.0,0.0,0.0,0.0,64.0,28.8,0.0,0.0,0.0,0.0,25,66.25,107.0,40.0,24.863125306364843,397.5,7.5,10.0,2.0,3.173551413074723,60.0,32.67857142857143,33.9629929498254,0.375235818085796,0.42257675273964357
,1,119.0,42.0,72.0,46.0,108.0,80.0,4.5,8.0,1.5,0.5,3.0,3.5,8.0,2.0,19.0,7.12,18.5,6.93,0.0,0.0,0.0,0.0,66.5,29.92,0.0,0.0,0.0,0.0,26,77.83333333333333,119.0,42.0,31.43511836571745,467.0,3.875,8.0,0.5,2.8252686345094435,31.0,35.57142857142857,42.742906358319196,0.40382544040231383,0.7272248737476046
,1,75.0,0.0,0.0,15.0,87.0,0.0,2.5,6.0,1.0,0.0,2.0,0.0,0.0,0.0,12.5,4.68,2.0,0.75,0.0,0.0,0.0,0.0,14.0,6.3,0.0,0.0,0.0,0.0,27,29.5,87.0,0.0,40.4907396820557,177.0,1.4375,6.0,0.0,2.0948491251502714,11.5,13.464285714285714,28.993675892481143,1.372102327416323,1.4472187393093412
,1,103.0,52.0,60.0,21.0,65.5,79.0,4.5,9.0,1.0,0.0,3.0,3.5,9.0,2.0,19.5,7.31,14.75,5.53,0.0,0.0,0.0,0.0,58.75,26.43,0.0,0.0,0.0,0.0,28,63.416666666666664,103.0,21.0,27.405139420675578,380.5,4.0,9.0,0.0,3.391164991562634,32.0,29.464285714285715,35.01618542557487,0.43207598413930387,0.8456770552525272
,1,56.5,0.0,61.0,25.5,59.0,71.0,3.5,3.0,2.0,0.0,2.0,3.5,4.0,2.0,12.0,4.5,13.25,4.96,0.0,0.0,0.0,0.0,35.75,16.08,0.0,0.0,0.0,0.0,29,45.5,71.0,0.0,27.07027890510181,273.0,2.5,4.0,0.0,1.2817398889233114,20.0,20.928571428571427,27.755704294417047,0.594820454957192,0.5106533422005225
,1,110.0,53.5,70.5,30.0,61.0,73.0,3.5,8.5,1.0,10.0,5.0,2.5,5.0,2.0,13.5,5.06,6.5,2.43,0.0,0.0,0.0,0.0,43.5,19.57,0.0,0.0,0.0,0.0,30,66.33333333333333,110.0,30.0,26.388760233604508,398.0,4.6875,10.0,1.0,3.161571715822008,37.5,31.107142857142858,35.71370054465662,0.39776054213341466,0.6730328293394375
,1,89.0,40.0,32.5,33.5,54.0,49.0,3.0,3.5,0.0,0.0,3.0,2.0,3.0,2.0,11.5,4.31,4.25,1.59,0.0,0.0,0.0,0.0,43.5,19.57,0.0,0.0,0.0,0.0,31,49.666666666666664,89.0,32.5,21.05152409367708,298.0,2.0625,3.5,0.0,1.3741880719693564,16.5,22.464285714285715,27.733251554014394,0.42377086681226095,0.6630581770660345
,1,92.0,70.0,82.0,42.5,0.0,84.5,4.0,7.0,3.0,0.0,8.0,4.0,3.0,2.0,11.75,4.4,11.5,4.31,0.0,0.0,0.0,0.0,40.0,18.0,0.0,0.0,0.0,0.0,32,61.833333333333336,92.0,0.0,34.91227100414218,371.0,3.875,8.0,0.0,2.5877458475338284,31.0,28.714285714285715,36.85559882616432,0.5645276398017923,0.6660864472416547
,1,101.0,49.5,0.0,47.5,88.0,46.0,3.0,8.5,0.5,0.0,1.0,2.0,2.0,2.0,17.5,6.56,7.75,2.9,0.0,0.0,0.0,0.0,24.25,10.91,0.0,0.0,0.0,0.0,33,55.333333333333336,101.0,0.0,35.768235442451825,332.0,2.375,8.5,0.0,2.655856063225458,19.0,25.071428571428573,35.15014889062303,0.6462970928588536,1.113566483532687
,1,62.0,0.0,57.0,30.0,87.0,67.0,0.0,10.0,0.0,1.0,3.0,0.0,6.0,2.0,9.0,3.37,4.25,1.59,0.0,0.0,0.0,0.0,27.75,12.48,0.0,0.0,0.0,0.0,34,50.5,87.0,0.0,30.82044775794148,303.0,2.75,10.0,0.0,3.575711717366808,22.0,23.214285714285715,31.202018108864916,0.6101850674706292,1.2955477236836261
,1,84.0,51.0,44.5,28.0,80.0,48.0,2.0,7.0,1.0,0.0,9.0,3.0,7.0,2.0,14.0,5.25,4.0,1.5,0.0,0.0,0.0,0.0,36.25,16.31,0.0,0.0,0.0,0.0,35,55.916666666666664,84.0,28.0,21.749521067523915,335.5,3.875,9.0,0.0,3.313931631332013,31.0,26.178571428571427,30.035624452701764,0.38889357016671683,0.8530068549117151
,1,125.0,60.0,84.0,40.5,110.0,86.0,4.5,6.0,0.0,0.0,3.0,2.5,2.0,2.0,21.5,8.06,11.5,4.31,0.0,0.0,0.0,0.0,50.75,22.83,0.0,0.0,0.0,0.0,36,84.25,125.0,40.5,31.076920696877288,505.5,2.5,6.0,0.0,2.052872551885702,20.0,37.535714285714285,46.219985806056755,0.3688217504970008,0.8178775107114351
,1,97.0,0.0,50.0,41.0,72.0,0.0,0.0,4.5,0.0,0.0,3.0,0.0,0.0,2.0,11.75,4.4,3.75,1.4,0.0,0.0,0.0,0.0,14.5,6.52,0.0,0.0,0.0,0.0,37,43.333333333333336,97.0,0.0,38.74876342112954,260.0,1.1875,4.5,0.0,1.771550975033701,9.5,19.25,32.36733277193582,0.8939959260431333,1.4793745094227149
,2,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,38,3.0,3.0,3.0,0.0,18.0,2.0,2.0,2.0,0.0,16.0,2.4285714285714284,0.5135525910130956,0.0,0.0
,2,130.0,70.0,100.0,50.0,120.0,80.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,39,91.66666666666667,130.0,50.0,30.605010483034746,550.0,8.625,15.0,2.0,4.274091382136927,69.0,44.214285714285715,46.78457762229668,0.3338364231142211,0.49497294523878715
,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2,109.0,57.0,79.0,47.0,115.0,68.0,2.0,5.0,1.0,10.0,2.0,0.0,7.0,2.0,28.5,10.68,23.0,8.62,0.0,0.0,0.0,0.0,59.25,26.66,0.0,0.0,0.0,0.0,41,79.16666666666667,115.0,47.0,27.658030780709364,475.0,3.625,10.0,0.0,3.420004177106889,29.0,36.0,42.4916281347098,0.34932047464374216,0.9408539689427481
,2,100.0,57.0,81.0,42.0,117.0,71.0,5.0,6.0,10.0,10.0,2.0,5.0,12.0,2.0,22.0,8.25,28.0,10.5,0.0,0.0,0.0,0.0,70.75,31.83,0.0,0.0,0.0,0.0,42,78.0,117.0,42.0,27.568097504180443,468.0,6.5,12.0,2.0,3.779644730092272,52.0,37.142857142857146,40.59908514099443,0.3533918408432309,0.5805905883398268
,2,71.0,68.0,92.0,47.0,87.0,55.0,3.0,4.0,1.0,2.0,0.0,0.0,7.0,2.0,15.0,5.62,12.5,4.68,0.0,0.0,0.0,0.0,50.75,22.83,0.0,0.0,0.0,0.0,43,70.0,92.0,47.0,17.504285189632853,420.0,2.375,7.0,0.0,2.326094212561969,19.0,31.357142857142858,36.42612575285268,0.250025499066317,0.9753015566297564
,2,95.0,0.0,67.4,33.0,78.0,42.0,2.0,4.0,0.0,1.0,0.0,1.5,8.0,2.0,12.5,4.68,5.75,2.15,0.0,0.0,0.0,0.0,34.75,15.63,0.0,0.0,0.0,0.0,44,52.56666666666666,95.0,0.0,34.424506774486495,315.4,2.3125,8.0,0.0,2.631369822517759,18.5,23.849999999999998,33.54961308959521,0.654748749910984,1.1329902357449986
